Code,geometry,Entity,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
FJI,"MULTIPOLYGON (((180 -16.06713266364245, 180 -16.5552165666392, 179.3641426619641 -16.80135407694688, 178.7250593629971 -17.01204167436804, 178.5968385951171 -16.63915, 179.0966093629971 -16.4339842775474, 179.4135093629971 -16.3790542775474, 180 -16.06713266364245)), ((178.12557 -17.50481, 178.3736 -17.33992, 178.71806 -17.62846, 178.55271 -18.15059, 177.93266 -18.28799, 177.38146 -18.16432, 177.28504 -17.72465, 177.67087 -17.38114, 178.12557 -17.50481)), ((-179.7933201090486 -16.02088225674122, -179.9173693847653 -16.5017831356494, -180 -16.5552165666392, -180 -16.06713266364245, -179.7933201090486 -16.02088225674122)))",Fiji,309525,316137,323374,331225,339754,349084,359218,369923,381079,392770,404901,417418,430550,444288,458333,472583,486493,498881,510008,520805,531198,541132,550508,559232,567498,575919,585544,597811,612101,626876,641985,657473,673422,689845,706722,723767,739320,750551,758707,766331,773325,779666,785349,790380,794779,798750,803788,812145,822259,831835,840913,849606,858057,866297,874369,882384,890370,897843,903403,907248,910427,912991,914920,916359,917589,918585,919167,918762,917185,914906,914971,916718,919428,924150
TZA,"POLYGON ((33.90371119710453 -0.9500000000000001, 34.07261999999997 -1.059819999999945, 37.69868999999994 -3.096989999999948, 37.7669 -3.67712, 39.20222 -4.67677, 38.74053999999995 -5.908949999999948, 38.79977000000008 -6.475660000000005, 39.44 -6.839999999999861, 39.47000000000014 -7.099999999999966, 39.19468999999998 -7.703899999999976, 39.25203000000005 -8.007809999999949, 39.18652000000009 -8.48550999999992, 39.53574000000009 -9.112369999999885, 39.94960000000003 -10.09840000000003, 40.31658622911085 -10.31709775281749, 40.31659000000002 -10.31709999999987, 39.52099999999996 -10.89688000000001, 38.42755659358775 -11.28520232508166, 37.82763999999997 -11.26878999999991, 37.47128999999995 -11.56876, 36.77515099462281 -11.59453744878081, 36.51408165868426 -11.72093800216673, 35.31239790216904 -11.43914641687915, 34.55998904799935 -11.52002003341592, 34.27999999999997 -10.16000000000003, 33.94083772409653 -9.693673841980285, 33.73972000000009 -9.417149999999992, 32.75937544122132 -9.23059905358906, 32.19186486179194 -8.930358981973257, 31.5563480974665 -8.762048841998642, 31.15775133695005 -8.594578747317366, 30.7400097314221 -8.340005930353721, 30.74001549655179 -8.340007419470915, 30.1999967791017 -7.079980970898163, 29.62003217949001 -6.520015150583426, 29.41999271008817 -5.939998874539434, 29.51998660657293 -5.419978936386315, 29.33999759290035 -4.499983412294092, 29.75351240409987 -4.452389418153302, 30.11632000000003 -4.090120000000013, 30.50554 -3.56857999999994, 30.75224000000009 -3.359309999999994, 30.74301000000003 -3.034309999999948, 30.52766000000003 -2.807619999999986, 30.46967364576122 -2.41385475710134, 30.46967000000001 -2.413829999999962, 30.75830895358311 -2.287250257988369, 30.81613488131771 -1.698914076345389, 30.41910485201925 -1.134659112150416, 30.76986000000011 -1.014549999999986, 31.86617000000007 -1.027359999999931, 33.90371119710453 -0.9500000000000001))",Tanzania,7625152,7812973,8009083,8213117,8424792,8644856,8874780,9115792,9367596,9629269,9901422,10187889,10487756,10799530,11127827,11470726,11827462,12200114,12602077,13036701,13492674,13971453,14479311,15010099,15561633,16138364,16736216,17352936,17976569,18592045,19189769,19784713,20398574,21079877,21779064,22501696,23258959,24030376,24769690,25438759,26110210,26780440,27457599,28332691,29442357,30383496,30945761,31578093,32420461,33300335,34260142,35198303,36121301,37089555,38109666,39182083,40294900,41435508,42570728,43633975,44758491,46029371,47374261,48824134,50351506,52020958,53824012,55652888,57437134,59174889,60972803,62830410,64711822,66617607
ESH,"POLYGON ((-8.665589565454809 27.65642588959236, -8.665124477564191 27.58947907155823, -8.684399786809053 27.39574412689601, -8.6872936670174 25.88105621998891, -11.96941891117116 25.93335276946827, -11.93722449385332 23.37459422453617, -12.87422156416958 23.28483226164518, -13.11875444177471 22.77122020109626, -12.92910193526353 21.32707062426756, -16.84519365077399 21.33332347257488, -17.06342322434257 20.99975210213083, -17.02042843267577 21.42231028898158, -17.00296179856109 21.42073415779658, -14.75095455571353 21.50060008390366, -14.63083268885107 21.8609398462749, -14.22116777185725 22.31016307218816, -13.89111039880905 23.6910090194593, -12.50096269372537 24.7701162785782, -12.03075883630163 26.03086619720307, -11.71821977380036 26.10409170176062, -11.39255489749701 26.88342397715439, -10.55126257978527 26.99080760345689, -10.18942420087758 26.86094472910741, -9.735343390328879 26.86094472910741, -9.41303748212448 27.08847606048857, -8.794883999049077 27.12069631602251, -8.817828334986672 27.65642588959236, -8.665589565454809 27.65642588959236))",Western Sahara,12981,14226,15559,16990,18553,20230,22024,23920,25937,28084,30344,32743,35270,37914,40679,43550,46543,50647,56002,61663,71745,78738,78269,77665,76496,66911,64509,77407,90904,104999,117389,126906,134496,140600,146165,151772,157376,162892,168420,173937,179553,185312,190948,196484,201927,209941,221402,233786,246315,258979,271946,285197,298468,311791,325197,338704,352658,366874,380834,394959,409722,425093,441033,457436,472591,486232,499658,512851,525790,538450,549374,558625,568746,579734
